date,wasser_haus,praxis_blau,praxis_rot,strom_haus,strom_praxis,gas
2024-1,660.667,1.57,1.02,78091.1,60140,20191.7
2024-2,669.569,1.6,1.107,78364.2,60325.2,20404.32
2024-3,681.241,1.692,1.15,78664.4,60572.9,20611.28
2024-4,693.36,1.741,1.208,78995.2,60819,20775.55
2024-5,701.819,1.81,1.3,79258.1,61008.9,20814.84
2024-6,715.51,1.91,1.377,79535.2,61253.9,20838.38
2024-7,726.361,2.065,1.458,79812.8,61505.3,20842.98
2024-8,738.041,2.09,1.473,80123.7,61770.2,20846.45
2024-9,747.461,2.15,1.492,80379.6,61992.5,20895.3
2024-10,754.775,2.19,1.545,80606.7,62176.2,20995.33
2024-11,763.773,2.224,1.612,80893.6,62479.1,21353.26
2024-12,772.894,2.237,1.656,81201.3,62686.4,21734.11
