date,wasser_haus,praxis_blau,praxis_rot,strom_haus,strom_praxis,gas
2025-1,783.084,2.279,1.708,81533.6,62944.4,22179.922
2025-2,792.675,2.312,1.781,81844.3,63212.6,22587.529
2025-3,800.45,2.345,1.812,82092.7,63416.6,22811.512
2025-4,811.62,2.385,1.859,82402,63692,22976.979
2025-5,822.462,2.433,1.902,82646.2,63931.1,23022.006
2025-6,834.211,2.506,1.934,82921.2,64137,23041.498
2025-7,846.258,2.577,1.958,83173.1,64387.8,23072.91
2025-8,859.844,2.945,2.194,83448.1,64628.3,23095.79
2025-9,871.349,2.982,2.233,83719.4,64878.867,23317.771
2025-10,882.854,3.018,2.273,83990.7,65129.433,23539.753
2025-11,894.359,3.055,2.312,84262,65380,23761.734
2025-12,907.126,3.079,2.362,84552.7,65644.1,24080.113
